id,text,text-markup,sentiment
15,"allgemeine Fragen zu Mondeo 2.0 Turnier
Hier ist so ein Faulpelz !          Bei meinem Mondi ist es eher so, daß die Kupplung sehr bald von unten kommt. Ich denke wenn die oben erst kommt, deutet sich ein baldiger Kupplungswechsel an, der einige viele hundert Euro aus deinem Geldbeutel verschlingen wird.         Gruß         ru         Achja, im übrigen, Krankheiten des Mondis aus diesen Zeiten (ich weis natürlich nicht, was bei deinem Model schon gefixt wurde. . . )    - Wasserpumpe    - Festsitzende hintere Bremsen    - Fahrertürschloss    - verschmorter Schalter/Widerstand für Motorlüfter"," <LXA_POSSIBLE>allgemeine Fragen</LXA_POSSIBLE> zu Mondeo 2.0 Turnier Hier ist so ein Faulpelz ! Bei meinem Mondi ist es eher so, da¬ß die Kupplung sehr bald von unten kommt. Ich denke wenn die oben erst kommt, deutet sich ein <LXA_POSSIBLE>baldiger Kupplungswechsel</LXA_POSSIBLE> an, der einige viele hundert Euro aus <LXA_POSSIBLE>deinem Geldbeutel</LXA_POSSIBLE> verschlingen wird. Gru¬ß ru Achja, im ≈∏brigen, Krankheiten des Mondis aus diesen Zeiten (ich weis nat≈∏rlich nicht, was bei deinem Model <LXA_POSSIBLE>schon gefixt</LXA_POSSIBLE> wurde. . . ) - Wasserpumpe - Festsitzende hintere Bremsen - Fahrert≈∏rschloss - <LXA_POSSIBLE>verschmorter Schalter</LXA_POSSIBLE>/Widerstand f≈∏r Motorl≈∏fter",Negative
17,"Mondeo startprobleme
Der ist echt noch neu, da kann ich ja gar nicht mehr mithalten mit meinen 85. 000 km und 96Bj,         War auch nur stadtverkehr. . . Aber mit den Drehzahlen habe ich auch das Problem, gut zu wissen was es ist ;-)"," Mondeo startprobleme Der ist echt noch neu, da kann ich ja gar nicht mehr mithalten mit meinen 85. 000 km und 96Bj, War auch nur stadtverkehr. . . Aber mit den Drehzahlen habe ich auch das Problem, gut zu wissen was es ist ;-)",Neutral
18,"Mondeo startprobleme
also wenn man keine motocraft zündteile (zündkerzen und kabel) verwendet dann sind probleme vorprogrammiert. . . . .         der zetec ist in hinsicht auf diese teile ne richtig zicke. . . . . . wenn er seine motocraftteile nicht bekommt dann gibts stress. . . :-)         also wer kein stress haben will sollte nur motocraft also original fordteile nutzen. . . . . die zündkerzen kosten bei ford außerdem auch nicht wirklich viel mehr als die von bosch und co. bei platinelektroden liegen alle anbieter um die 7 euro pro stück. . . . . .         ich bezahl für 4 kerzen und wechsel 35 euro. . . . . . .         es gibt aber auch ab und zu motoren die mit anderen kerzen klar kommen. . . . ist aber wirklich eine seltenheit. . . . .         haben es ja schonmal probiert mit bosch kerzen. . . . 500km gings gut und dann fingen die probleme an. . . . . . bis der motor fast gar nicht mehr lief. . . . . dann wieder motocraft kerzen rein und ruhe war. . . . .         grüße", Mondeo startprobleme also wenn man keine <LXA_POSSIBLE>motocraft z≈∏ndteile</LXA_POSSIBLE> (z≈∏ndkerzen und kabel) verwendet dann sind probleme vorprogrammiert. . . . . der zetec ist in hinsicht auf diese teile ne richtig zicke. . . . . . wenn er seine motocraftteile nicht bekommt dann gibts stress. . . :-) also wer kein stress haben will sollte nur motocraft also <LXA_POSSIBLE>original fordteile</LXA_POSSIBLE> nutzen. . . . . die <LXA_POSSIBLE>z≈∏ndkerzen kosten</LXA_POSSIBLE> bei ford <LXA_POSSIBLE>au¬ß</LXA_POSSIBLE>erdem auch nicht wirklich viel mehr als die von bosch und co. bei platinelektroden liegen alle anbieter um die 7 euro pro st≈∏ck. . . . . . ich bezahl f≈∏r 4 kerzen und wechsel 35 euro. . . . . . . es gibt aber auch ab und zu motoren die mit anderen kerzen <LXA_POSSIBLE>klar kommen</LXA_POSSIBLE>. . . . ist aber wirklich eine seltenheit. . . . . haben es ja <LXA_POSSIBLE>schonmal probiert</LXA_POSSIBLE> mit bosch kerzen. . . . 500km gings gut und dann fingen die probleme an. . . . . . bis der motor fast gar nicht mehr lief. . . . . dann wieder motocraft kerzen rein und ruhe war. . . . . gr≈∏¬ße,Neutral
19,"Frage wegen dem Motor
Der Motor mit dem silbernen Ventildeckel wurde komplett überarbeitet und hat dann einen schwarzen Ventildeckel bekommen, der Motor wurde dann ab 1998 im Mondeo verbaut.         Der größte Vorteil dürfte wohl der längere Zahnriemenintervall sein, 150. 000km oder alle 10Jahre. Der silberne hat ''nur'' 120. 000km oder alle 5Jahre.    Und man kann zB. noch den Ölfilter sehr viel leichter erneuern."," Frage wegen dem Motor Der Motor mit dem <LXA_POSSIBLE>silbernen Ventildeckel</LXA_POSSIBLE> wurde <LXA_POSSIBLE>komplett ≈∏berarbeitet</LXA_POSSIBLE> und hat dann einen <LXA_POSSIBLE>schwarzen Ventildeckel</LXA_POSSIBLE> bekommen, der Motor wurde dann ab 1998 im Mondeo verbaut. Der gr≈°¬ß<LXA_POSSIBLE>te Vorteil</LXA_POSSIBLE> d≈∏rfte wohl der <LXA_POSSIBLE>l≈†ngere Zahnriemenintervall</LXA_POSSIBLE> sein, 150. 000km oder alle 10Jahre. Der silberne hat ''nur'' 120. 000km oder alle 5Jahre. Und man kann zB. noch den ‚Ä¶lfilter sehr viel <LXA_POSSIBLE>leichter erneuern</LXA_POSSIBLE>.",Neutral
22,"Fehlendes Bluetooth Modul bei Mondeo Produktion im Dez.07
Hallo,         habe selber vor einiger Zeit zu dem Thema Bluetooth nachrüsten einen Thread eingestellt.    Leider habe ich von Ford und von meinem FFH bis heute keine konkrete Antwort erhalten.         Ist die Nachrüstung der Bluetoothbox nun mittlerweile möglich und wie heisst dann dieses    Modul?          Zitat:    Tel. 0221/90 33 33 3 Die können Dir sicher helfen.         Das kann man nämlich wohl nachrüsten !!         Sag mal bescheid obs geklappt hat würd mich freuen!         mfg Mops               Hallo Mops, wer bei Ford hat gesagt dass sich dieses nachrüsten lässt???????        Den Service kannste auf jeden Fall in die Tonne klopfen. . . . .                  Würde mich freuen von einem zu erfahren, ob die Nachrüstung tatsächlich geklappt hat.                 so long                 rk         "," Fehlendes Bluetooth Modul bei Mondeo Produktion im Dez.07 Hallo, habe selber vor einiger Zeit zu dem Thema Bluetooth nachr≈∏sten einen Thread eingestellt. Leider habe ich von Ford und von meinem FFH bis heute keine <LXA_POSSIBLE>konkrete Antwort</LXA_POSSIBLE> erhalten. Ist die Nachr≈∏stung der Bluetoothbox nun mittlerweile m≈°glich und wie heisst dann dieses Modul? Zitat: Tel. 0221/90 33 33 3 Die k≈°nnen Dir <LXA_POSSIBLE>sicher helfen</LXA_POSSIBLE>. Das kann man n≈†mlich <LXA_POSSIBLE>wohl nachr≈∏sten</LXA_POSSIBLE> !! Sag mal bescheid <LXA_POSSIBLE>obs geklappt</LXA_POSSIBLE> hat w≈∏rd mich freuen! mfg Mops Hallo Mops, wer bei Ford hat gesagt dass sich dieses nachr≈∏sten l≈†sst??????? Den Service kannste auf <LXA_POSSIBLE>jeden Fall</LXA_POSSIBLE> in die Tonne klopfen. . . . . W≈∏rde mich freuen von einem zu erfahren, ob die Nachr≈∏stung <LXA_POSSIBLE>tats≈†chlich geklappt</LXA_POSSIBLE> hat. so long rk",Negative
23,"Ford USA verliert Milliarden
Zitat:          Original von BlueCougar  Der Contour ist 2000 eingestellt und durch den Fusion ersetzt worden.   Nur was hindert Ford daran, die europäischen Modelle in den USA anzubieten? VW, Audi und Co. gehen in den USA doch sehr gut.         Richtig, deshalb soll z. B. auch der neue Mondeo MK5 (der soll glaube 2013 oder so kommen) weltweit angeboten werden!!!        Ob Liga eins, zwei, drei oder vier, 1. FCM, ja wir stehn zu dir!"," Ford USA verliert Milliarden Zitat: Original von BlueCougar Der Contour ist 2000 eingestellt und durch den Fusion ersetzt worden. Nur was hindert Ford daran, die <LXA_POSSIBLE>europ≈†ischen Modelle</LXA_POSSIBLE> in den USA anzubieten? VW, Audi und Co. gehen in den USA doch sehr gut. Richtig, deshalb soll z. B. auch der neue Mondeo MK5 (der soll glaube 2013 oder so kommen) <LXA_POSSIBLE>weltweit angeboten</LXA_POSSIBLE> werden!!! Ob Liga eins, zwei, drei oder vier, 1. FCM, ja wir stehn zu dir!",Positive
24,"HWLUXX] Automobil Sammelthread [Part 13
Zitat:     Zitat von  ulukay      genauso isn volvo oder jaguar (bis 2008) auch ''nur'' ein ford? und was passt an ford ned, wenn wir mal von dem rost fiasko focus absehen?     Dann müssen wir auch mal vom Rost beim Mondeo absehen.   @Hagen: Fehlerspeicher auslesen lassen. Evtl die Alarmanlage ''teilaktiv''? Was änliches hatte ich bei meinem 850er auch mal gehabt.   'cuda"," HWLUXX] Automobil Sammelthread [Part 13 Zitat: Zitat von ulukay genauso isn volvo oder jaguar (bis 2008) auch ''nur'' ein ford? und was passt an ford ned, wenn wir mal von dem rost fiasko <LXA_POSSIBLE>focus absehen</LXA_POSSIBLE>? Dann m≈∏ssen wir auch mal vom Rost beim Mondeo absehen. @Hagen: Fehlerspeicher auslesen lassen. Evtl die Alarmanlage ''teilaktiv''? Was ≈†nliches hatte ich bei meinem 850er auch <LXA_POSSIBLE>mal gehabt</LXA_POSSIBLE>. 'cuda",Positive
25,"ST Club Württemberg
ST Club Württemberg                       Hallo Leute,   wir suchen ST Fahrer aus Baden Württemberg um unseren Club zu erweitern. Egal ob Fiesta ST, Focus ST, Mondeo ST220, oder ST170 ''Hauptsache ST :-)''   Schaut doch wenn ihr Lust und Zeit habt mal auf unserer Homepage vorbei. Wir freuen uns auf euren Besuch       http://www. st-club-bw. net    Gruß euer ST Team BW. . . . ."," ST Club W≈∏rttemberg ST Club W≈∏rttemberg Hallo Leute, wir suchen ST Fahrer aus Baden W≈∏rttemberg um unseren Club zu erweitern. Egal ob Fiesta ST, Focus ST, Mondeo ST220, oder ST170 ''Hauptsache ST :-)'' Schaut doch wenn ihr Lust und Zeit habt mal auf unserer Homepage vorbei. Wir freuen uns auf <LXA_POSSIBLE>euren Besuch</LXA_POSSIBLE> http://www. st-club-bw. net Gru¬ß euer ST Team BW. . . . .",Positive
26,"Frage zu Längsträger hinten Mondeo MK1 Kombi!
Hallo, hab grad das gleiche Prob. . . Also ich klapper grad sämtliche Autoverwertungen in meiner Nähe ab. Glaube da gibts nur eine Lösung. Ich hole mir, falls ich was finde, ne komplette Hinterachse vom Schrott. Denk sonst siehts da schlecht aus. . . Gruß"," Frage zu L≈†ngstr≈†ger hinten Mondeo MK1 Kombi! Hallo, hab grad das <LXA_POSSIBLE>gleiche Prob</LXA_POSSIBLE>. . . Also ich klapper grad <LXA_POSSIBLE>s≈†mtliche Autoverwertungen</LXA_POSSIBLE> in <LXA_POSSIBLE>meiner N≈†he</LXA_POSSIBLE> ab. Glaube da gibts nur eine L≈°sung. Ich hole mir, falls ich was finde, ne <LXA_POSSIBLE>komplette Hinterachse</LXA_POSSIBLE> vom Schrott. Denk sonst siehts da schlecht aus. . . Gru¬ß",Neutral
28,"Ich werde meinen Focus gegen einen neuen Golf VI wandeln!
Zitat:    und durch die Innenraumanmutung weiss man auch gleich das man ganz unten zum Fußvolk gehört und ein echtes Brot und Butterauto und kein echtes Mittelklasseauto fährt.     Nur mal eine objektive Info von mir: In diversen Tests hat der neue Ford Mondeo beispielsweise bestens abgeschnitten!    Ich weiß nicht mehr genau ob es bei Stiftung Warentest war oder ADAC, jedenfalls war der neue Mondeo Testsieger gegen die Mercedes C-Klasse und den Audi A4!         Ich bin kein Ford-Fan, aber man sollte auch nicht übertreiben.         Ich kann an dem Focus keine Fehler feststellen, ausser das er sich unheimlich spießig und unspektakulär fährt (wie auf Schienen. . . )               Zitat:    wir hatten uns auch Focus 2 Kombis angeschaut, und die sagen am Unterboden schlechter aus als unser 17 jahre alter Passat     Ja mein Gott, der Golf 3 hat wesentlich größere Rostprobleme als der Golf 2!         Du sagtest ja schon das ist deine subjektive Meinung, und in der Tat hängt Rostentwicklung auch stark von der Pflege ab und wieviel im Winter gefahren wurde. Ältere VWs sind aber unter Garantie rostanfälliger als jedes moderne Auto, heute ist die Technik diesbezüglich auch schon viel weiter - wird dir jeder Mechaniker bestätigen können!"," Ich werde meinen Focus gegen einen <LXA_POSSIBLE>neuen Golf</LXA_POSSIBLE> VI wandeln! Zitat: und durch die Innenraumanmutung weiss man auch gleich das man <LXA_POSSIBLE>ganz unten</LXA_POSSIBLE> zum Fu<LXA_POSSIBLE>¬ßvolk</LXA_POSSIBLE> geh≈°rt und ein <LXA_POSSIBLE>echtes Brot</LXA_POSSIBLE> und Butterauto und kein <LXA_POSSIBLE>echtes Mittelklasseauto</LXA_POSSIBLE> f≈†hrt. Nur mal eine <LXA_POSSIBLE>objektive Info</LXA_POSSIBLE> von mir: In <LXA_POSSIBLE>diversen Tests</LXA_POSSIBLE> hat der <LXA_POSSIBLE>neue Ford</LXA_POSSIBLE> Mondeo beispielsweise <LXA_POSSIBLE>bestens abgeschnitten</LXA_POSSIBLE>! Ich wei¬ß nicht mehr genau ob es bei Stiftung Warentest war oder ADAC, jedenfalls war der <LXA_POSSIBLE>neue Mondeo</LXA_POSSIBLE> Testsieger gegen die Mercedes C-Klasse und den Audi A4! Ich bin kein Ford-Fan, aber man sollte auch <LXA_POSSIBLE>nicht ≈∏bertreiben</LXA_POSSIBLE>. Ich kann an dem Focus keine Fehler feststellen, ausser das er sich <LXA_POSSIBLE>unheimlich spie</LXA_POSSIBLE>¬ßig und unspektakul≈†r f≈†hrt (wie auf Schienen. . . ) Zitat: wir hatten uns auch Focus 2 Kombis angeschaut, und die sagen am Unterboden schlechter aus als unser 17 jahre <LXA_POSSIBLE>alter Passat</LXA_POSSIBLE> Ja mein Gott, der Golf 3 hat <LXA_POSSIBLE>wesentlich gr≈°</LXA_POSSIBLE>¬ßere Rostprobleme als der Golf 2! Du sagtest ja schon das ist deine <LXA_POSSIBLE>subjektive Meinung</LXA_POSSIBLE>, und in der Tat h≈†ngt Rostentwicklung auch stark von der Pflege ab und wieviel im Winter gefahren wurde. ‚Ç¨ltere VWs sind aber unter Garantie rostanf≈†lliger als jedes <LXA_POSSIBLE>moderne Auto</LXA_POSSIBLE>, heute ist die Technik diesbez≈∏glich auch schon viel weiter - wird dir <LXA_POSSIBLE>jeder Mechaniker</LXA_POSSIBLE> best≈†tigen k≈°nnen!",Positive
29,"Fotos von EUREM Mondeo
Das ist die Steckdose vom Flexifuel um bei niedrigen Temperaturen vorzuheizen. Daher kann man den Flexi auch nicht mit Standheizung bestellen", Fotos von EUREM Mondeo Das ist die Steckdose vom Flexifuel um bei <LXA_INTERNAL_NEGATIVE>niedrigen Temperaturen</LXA_INTERNAL_NEGATIVE> vorzuheizen. Daher kann man den Flexi auch nicht mit Standheizung bestellen,Positive
30,"Fotos von EUREM Mondeo
Das ist Meiner    Panther Schwarz 2. 0Tdci 130 Ps Ghia X", Fotos von EUREM Mondeo Das ist Meiner Panther Schwarz 2. 0Tdci 130 Ps Ghia X,Positive
31,"Fotos von EUREM Mondeo
Mein Titanium X Turnier 2,5T in Royal grau, Remps Doppelgänger      von vorne "," Fotos von EUREM Mondeo Mein Titanium X Turnier 2,5T in Royal grau, Remps Doppelg≈†nger von vorne",Positive
32,"Fotos von EUREM Mondeo
Und ist die Antenne jetzt gerade??????                Sag mal du hast in deinem Grill unten in der Stoßstange auf dem Bild rechts unter dem Kennzeichen ein Teil in dem Grill verbaut???Wozu dient das???(ich meine nicht die PDC Sensoren sonderdas einzelne rechteckige Bauteil!!!!         Gruß Steffen", Fotos von EUREM Mondeo Und ist die Antenne jetzt gerade?????? Sag mal du hast in <LXA_POSSIBLE>deinem Grill</LXA_POSSIBLE> unten in der Sto¬ßstange auf dem Bild rechts unter dem Kennzeichen ein Teil in dem Grill verbaut???Wozu dient das???(ich meine nicht die PDC Sensoren sonderdas einzelne <LXA_POSSIBLE>rechteckige Bauteil</LXA_POSSIBLE>!!!! Gru¬ß Steffen,Positive
33,"Fotos von EUREM Mondeo
von links ", Fotos von EUREM Mondeo von links,Positive
